prompt_id,latency_ms,syntax_pass,schema_pass,range_pass,key_order_pass,overall_pass,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,finish_reason,generation_error,validation_errors
acid_bass_001,2361.629,True,True,True,True,True,410,58,468,24.559,stop,,
ambient_pad_001,2023.486,True,True,True,True,True,409,60,469,29.652,stop,,
glass_pluck_001,2018.212,True,True,True,True,True,411,58,469,28.738,stop,,
soft_sub_001,2091.517,True,True,True,True,True,410,58,468,27.731,stop,,
retro_square_001,2068.390,True,True,True,True,True,409,57,466,27.558,stop,,
cinematic_swell_001,2285.089,True,True,True,True,True,412,63,475,27.570,stop,,
dry_stab_001,2095.915,True,True,True,True,True,413,59,472,28.150,stop,,
mellow_keys_001,2090.054,True,True,True,True,True,412,57,469,27.272,stop,,
washed_drone_001,2283.811,True,True,True,True,True,408,62,470,27.148,stop,,
ambiguous_hybrid_001,2236.346,True,True,True,True,True,411,58,469,25.935,stop,,
